Genesis	創世記	創	创世记	创	Genesis	Gen
Exodus	出埃及記	出	出埃及记	出	Exodus	Exo
Leviticus	利未記	利	利未记	利	Leviticus	Lev
Numbers	民數記	民	民数记	民	Numbers	Num
Deuteronomy	申命記	申	申命记	申	Deuteronomy	Deu
Joshua	約書亞記	書	约书亚记	书	Joshua	Jos
Judges	士師記	士	士师记	士	Judges	Jug
Ruth	路得記	得	路得记	得	Ruth	Rut
Samuel1	撒母耳記上	撒上	撒母耳记上	撒上	1 Samuel	1Sa
Samuel2	撒母耳記下	撒下	撒母耳记下	撒下	2 Samuel	2Sa
Kings1	列王紀上	王上	列王纪上	王上	1Kings	1Ki
Kings2	列王紀下	王下	列王纪下	王下	2Kings	2Ki
Chronicles1	歷代志上	代上	历代志上	代上	1 Chronicles	1Ch
Chronicles2	歷代志下	代下	历代志下	代下	2 Chronicles	2Ch
Ezra	以斯拉記	拉	以斯拉记	拉	Ezra	Ezr
Nehemiah	尼希米記	尼	尼希米记	尼	Nehemiah	Neh
Esther	以斯帖記	斯	以斯帖记	斯	Esther	Est
Job	約伯記	伯	约伯记	伯	Job	Job
Psalm	詩篇	詩	诗篇	诗	Psalms	Psm
Proverbs	箴言	箴	箴言	箴	Proverbs	Pro
Ecclesiastes	傳道書	傳	传道书	传	Ecclesiastes	Ecc
SongOfSongs	雅歌	歌	雅歌	歌	Song of Songs	Son
Isaiah	以賽亞書	賽	以赛亚书	赛	Isaiah	Isa
Jeremiah	耶利米書	耶	耶利米书	耶	Jeremiah	Jer
Lamentations	耶利米哀歌	哀	耶利米哀歌	哀	Lamentations	Lam
Ezekiel	以西結書	結	以西结书	结	Ezekiel	Eze
Daniel	但以理書	但	但以理书	但	Daniel	Dan
Hosea	何西阿書	何	何西阿书	何	Hosea	Hos
Joel	約珥書	珥	约珥书	珥	Joel	Joe
Amos	阿摩司書	摩	阿摩司书	摩	Amos	Amo
Obadiah	俄巴底亞書	俄	俄巴底亚书	俄	Obadiah	Oba
Jonah	約拿書	拿	约拿书	拿	Jonah	Jon
Micah	彌迦書	彌	弥迦书	弥	Micah	Mic
Nahum	那鴻書	鴻	那鸿书	鸿	Nahum	Nah
Habakkuk	哈巴谷書	哈	哈巴谷书	哈	Habakkuk	Hab
Zephaniah	西番雅書	番	西番雅书	番	Zephaniah	Zep
Haggai	哈該書	該	哈该书	该	Haggai	Hag
Zechariah	撒迦利亞書	亞	撒迦利亚书	亚	Zechariah	Zec
Malachi	瑪拉基書	瑪	玛拉基书	玛	Malachi	Mal
Matthew	馬太福音	太	马太福音	太	Matthew	Mat
Mark	馬可福音	可	马可福音	可	Mark	Mak
Luke	路加福音	路	路加福音	路	Luke	Luk
John	約翰福音	約	约翰福音	约	John	Jhn
Acts	使徒行傳	徒	使徒行传	徒	Acts	Act
Romans	羅馬書	羅	罗马书	罗	Romans	Rom
Corinthians1	哥林多前書	林前	哥林多前书	林前	1 Corinthians	1Co
Corinthians2	哥林多後書	林後	哥林多后书	林后	2 Corinthians	2Co
Galatians	加拉太書	加	加拉太书	加	Galatians	Gal
Ephesians	以弗所書	弗	以弗所书	弗	Ephesians	Eph
Philippians	腓利比書	腓	腓立比书	腓	Philippians	Phl
Colossians	歌羅西書	西	歌罗西书	西	Colossians	Col
Thessalonians1	帖撒羅尼迦前書	帖前	帖撒罗尼迦前书	帖前	1 Thessalonians	1Ts
Thessalonians2	帖撒羅尼迦後書	帖後	帖撒罗尼迦后书	帖后	2 Thessalonians	2Ts
Timothy1	提摩太前書	提前	提摩太前书	提前	1 Timothy	1Ti
Timothy2	提摩太後書	提後	提摩太后书	提后	2 Timothy	2Ti
Titus	提多書	多	提多书	多	Titus	Tit
Philemon	腓利門書	門	腓利门书	门	Philemon	Phm
Hebrews	希伯來書	來	希伯来书	来	Hebrews	Heb
James	雅各書	雅	雅各书	雅	James	Jas
Peter1	彼得前書	彼前	彼得前书	彼前	1 Peter	1Pe
Peter2	彼得後書	彼後	彼得后书	彼后	2 Peter	2Pe
John1	約翰壹書	約一	约翰一书	约一	1 John	1Jn
John2	約翰貳書	約二	约翰二书	约二	2 John	2Jn
John3	約翰參書	約三	约翰三书	约三	3 John	3Jn
Jude	猶大書	猶	犹大书	犹	Jude	Jud
Revelation	啟示錄	啟	启示录	启	Revelation	Rev
